Pyridoxal Phosphate	SHMT2|PDXP|SPTLC1|SRR|SPTLC3|MOCOS|NFS1|GPT|SGPL1|OAT|CCBL1|PYGM|FTCD|AADAT|DDC|KYNU|PROSC|SEPSECS|CTH|SHMT1|TAT|PDXDC1|PSAT1|ADC|AGXT2|CBS|ODC1|CSAD|GADL1|GAD1|ABAT|HDC|GLDC|BCAT1|SDS|GPT2|PHYKPL|SPTLC2|GOT2|GOT1|GCAT|CCBL2|THNSL1|ALAS1|PYGB|IGSF10|SCLY|BCAT2|PNPO|SDSL|PYGL|AGXT
Albendazole	TUBB4B|TUBA1A
Mebendazole	TUBB4B|TUBA1A
2,3,5,6-Tetrafluoro-4-Methoxy-Benzamide	LGALS3
Oxibendazole	TUBB4B
3-{[(1R)-1-phenylethyl]amino}-4-(pyridin-4-ylamino)cyclobut-3-ene-1,2-dione	MAPKAPK2
(4R)-N-[4-({[2-(DIMETHYLAMINO)ETHYL]AMINO}CARBONYL)-1,3-THIAZOL-2-YL]-4-METHYL-1-OXO-2,3,4,9-TETRAHYDRO-1H-BETA-CARBOLINE-6-CARBOXAMIDE	MAPKAPK2
(10R)-10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-[1,4]diazepino[5',6':4,5]thieno[3,2-f]quinolin-8-one	MAPKAPK2
2-[2-(2-FLUOROPHENYL)PYRIDIN-4-YL]-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE	MAPKAPK3|MAPKAPK2
2-(2-QUINOLIN-3-YLPYRIDIN-4-YL)-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE	MAPKAPK3|MAPKAPK2
7-AMINO-4-METHYL-CHROMEN-2-ONE	HDAC8|PPIF
1,4-Butanediol	MAN1B1|PLA2G2E|PLA2G2A
Methyl-2-S-(Alpha-D-Mannopyranosyl)-2-Thio-Alpha-D-Mannopyranoside	MAN1B1
Kifunensine	MAN1B1|MAN2A1
1-Deoxynojirimycin	MAN1B1
Ixabepilone	TUBB3
1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine	HCK|RET
Uridine-Diphosphate-N-Acetylglucosamine	UAP1|GALE|EXTL2|MGAT1
Platelet Activating Factor	GM2A
Lpc-Ether	PLA2G1B|GM2A
Glycerylphosphorylcholine	GM2A
9,10-Deepithio-9,10-Didehydroacanthifolicin	PPP1CC
Calyculin A	PPP1CC
Motuporin	PPP1CC
R048-8071	LSS
Lanosterol	LSS
5'-O-(N-Ethyl-Sulfamoyl)Adenosine	HINT1
Adenosine-5'-Ditungstate	HINT1
Amido Phenyl Pyruvic Acid	TPSAB1
4-PIPERIDIN-4-YLBUTANAL	TPSAB1|PRSS1
[4-(3-AMINOMETHYL-PHENYL)-PIPERIDIN-1-YL]-(5-PHENETHYL- PYRIDIN-3-YL)-METHANONE	TPSAB1
(5-(aminomethyl)-2H-spiro[benzofuran-3,4'-piperidine]-1'-yl)(5-(phenylethynyl)furan-2-yl)methanone	TPSAB1
Cytidine	UCK2
Cytidine-5'-Triphosphate	UCK2
Uridine 5'-Triphosphate	UCK2
[1-(1-Methyl-4,5-Dioxo-Pent-2-Enylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester	CTSF
[1-(1-Benzyl-3-Hydroxy-2-Oxo-Propylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester	CTSF
4-Morpholin-4-Yl-Piperidine-1-Carboxylic Acid [1-(3-Benzenesulfonyl-1-Propyl-Allylcarbamoyl)-2-Phenylethyl]-Amide	CTSF
Benzoyl-Arginine-Alanine-Methyl Ketone	CTSF
WRR-99	CTSF
WRR-112	CTSF
HOMOPHENYLALANINYLMETHANE	CTSF
BENZOYL-TYROSINE-ALANINE-METHYL KETONE	CTSF
1,2-Diacyl-Sn-Glycero-3-Phosphoinositol	PITPNA
(Z,Z)-4-Hydroxy-N,N,N-Trimethyl-10-Oxo-7-[(1-Oxo-9-Octadecenyl)Oxy]-3,5,9-Trioxa-4-Phosphaheptacos-18-En-1-Aminium-4-Oxide	PITPNA
Dpb-T	NT5M
cyclic 3',5'-thymidine monophosphate	NT5M
Glucose-Uridine-C1,5'-Diphosphate	GALE
Tetramethylammonium Ion	GALE
Uridine-5'-Monophosphate Glucopyranosyl-Monophosphateester	GLT6D1|GYG1|GALE
2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid	C1S
Nitroxoline	METAP2
3,5,6,8-Tetramethyl-N-Methyl Phenanthrolinium	METAP2
Fumagillin	METAP2
D-Methionine	METAP2
N'-(2s,3r)-3-Amino-4-Cyclohexyl-2-Hydroxy-Butano-N-(4-Methylphenyl)Hydrazide	METAP2
(E)-(2r,3r,4s,5r)-3,4,5-Trihydroxy-2-Methoxy-8,8-Dimethyl-Non-6-Enoic Acid ((3s,6r)-6-Hydroxy-2-Oxo-Azepan-3-Yl)-Amide	METAP2
(2s,3r)-3-Amino-2-Hydroxy-5-(Ethylsulfanyl)Pentanoyl-((S)-(-)-(1-Naphthyl)Ethyl)Amide	METAP2
Ovalicin	METAP2|METAP1
PPI-2458	METAP2
5-BROMO-2-{[(4-CHLOROPHENYL)SULFONYL]AMINO}BENZOIC ACID	METAP2
5-METHYL-2-[(PHENYLSULFONYL)AMINO]BENZOIC ACID	METAP2
2-[(PHENYLSULFONYL)AMINO]-5,6,7,8-TETRAHYDRONAPHTHALENE-1-CARBOXYLIC ACID	METAP2
2-[({2-[(1Z)-3-(DIMETHYLAMINO)PROP-1-ENYL]-4-FLUOROPHENYL}SULFONYL)AMINO]-5,6,7,8-TETRAHYDRONAPHTHALENE-1-CARBOXYLIC ACID	METAP2
N'-((2S,3R)-3-AMINO-2-HYDROXY-5-(ISOPROPYLSULFANYL)PENTANOYL)-N-3-CHLOROBENZOYL HYDRAZIDE	METAP2
3-ETHYL-6-{[(4-FLUOROPHENYL)SULFONYL]AMINO}-2-METHYLBENZOIC ACID	METAP2
(CHLOROACETYL)CARBAMIC ACID (3R,4S,5S,5R)-5-METHOXY-4-[(2R,3R)-2-METHYL-3-(3-METHYL-2-BUTENYL)OXIRANYL]-1-OXASPIRO[2.5]OCT-6-YL ESTER	METAP2
2-Deoxy-2-Amino Glucitol-6-Phosphate	GNPDA1
16g	GNPDA1
4-(1,3,2-Dioxaborolan-2-Yloxy)Butan-1-Aminium	PRSS3
4-Hydroxybutan-1-Aminium	PRSS3
4-(Hydroxymethyl)Benzamidine	PRSS3
[3-(1,3,2-Dioxaborolan-2-Yloxy)Propyl]Guanidine	PRSS3
Guanidine-3-Propanol	PRSS3
[4-(1,3,2-Dioxaborolan-2-Yloxy)Methyl]Benzamidine	PRSS3
1,3,2-Dioxaborolan-2-Ol	PRSS3
(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid	NR1H2
Benzenesulfonyl	NR1H2
1,1,1,3,3,3-HEXAFLUORO-2-{4-[(2,2,2-TRIFLUOROETHYL)AMINO]PHENYL}PROPAN-2-OL	NR1H2
Vorinostat	HDAC2|HDAC1|HDAC6|HDAC8|HDAC3
4-Dimethylamino-N-(6-Hydroxycarbamoyethyl)Benzamide-N-Hydroxy-7-(4-Dimethyla Minobenzoyl)Aminoheptanamide	HDAC8
N-Hydroxy-4-(Methyl{[5-(2-Pyridinyl)-2-Thienyl]Sulfonyl}Amino)Benzamide	HDAC8
7-[4-(Dimethylamino)Phenyl]-N-Hydroxy-4,6-Dimethyl-7-Oxo-2,4-Heptadienamide	HDAC7|HDAC8
(2E)-N-hydroxy-3-[1-methyl-4-(phenylacetyl)-1H-pyrrol-2-yl]prop-2-enamide	HDAC8
5-(4-METHYL-BENZOYLAMINO)-BIPHENYL-3,4'-DICARBOXYLIC ACID 3-DIMETHYLAMIDE-4'-HYDROXYAMIDE	HDAC8
D-Myo-Inositol-1,4,5-Triphosphate	CYTH2|ITPR1|EPN1|ITPKA|PLCD1|SPTBN1|RDX
Coproporphyrin I	UROD
Coproporphyrin Iii	UROD
1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene	PLA2G2A
N-Tridecanoic Acid	PLA2G2E|PLA2G2A|PLA2G1B
[3-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Propyl-]-Phosphonic Acid	PLA2G2A
4-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Butyric Acid	PLA2G2A
1-Benzyl-5-Methoxy-2-Methyl-1h-Indol-3-Yl)-Acetic Acid	PLA2G2A
6-Phenyl-4(R)-(7-Phenyl-Heptanoylamino)-Hexanoic Acid	PLA2G2A
Elaidoylamide	PLA2G2A
1-Octadecyl-2-Acetamido-2-Deoxy-Sn-Glycerol-3-Phosphoethylmethyl Sulfide	PLA2G2A
(S)-5-(4-Benzyloxy-Phenyl)-4-(7-Phenyl-Heptanoylamino)-Pentanoic Acid	PLA2G2A
Morpholine-4-Carboxylic Acid [1s-(2-Benzyloxy-1r-Cyano-Ethylcarbamoyl)-3-Methyl-Butyl]Amide	CTSS
Morpholine-4-Carboxylic Acid (1-(3-Benzenesulfonyl-1-Phenethylallylcarbamoyl)-3-Methylbutyl)-Amide	CTSS
Morpholine-4-Carboxylic Acid [1-(2-Benzylsulfanyl-1-Formyl-Ethylcarbamoyl)-2-Phenyl-Ethyl]-Amide	CTSS
N-[1-(AMINOMETHYL)CYCLOPROPYL]-3-(MORPHOLIN-4-YLSULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-FLUOROPHENYL)ETHYL]-L-ALANINAMIDE	CTSS
N-(1-CYANOCYCLOPROPYL)-3-({[(2S)-5-OXOPYRROLIDIN-2-YL]METHYL}SULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-FLUOROPHENYL)ETHYL]-L-ALANINAMIDE	CTSS
N-[1-(AMINOMETHYL)CYCLOPROPYL]-3-(BENZYLSULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-HYDROXYPHENYL)ETHYL]-L-ALANINAMIDE	CTSS
N~2~-1,3-BENZOXAZOL-2-YL-3-CYCLOHEXYL-N-{2-[(4-METHOXYPHENYL)AMINO]ETHYL}-L-ALANINAMIDE	CTSS
N-[(1S)-1-{1-[(1R,3E)-1-ACETYLPENT-3-EN-1-YL]-1H-1,2,3-TRIAZOL-4-YL}-1,2-DIMETHYLPROPYL]BENZAMIDE	CTSS
(1R)-2-[(CYANOMETHYL)AMINO]-1-({[2-(DIFLUOROMETHOXY)BENZYL]SULFONYL}METHYL)-2-OXOETHYL MORPHOLINE-4-CARBOXYLATE	CTSS
2-[(2',3',4'-TRIFLUOROBIPHENYL-2-YL)OXY]ETHANOL	CTSS
N-[(1S)-2-[(4-cyano-1-methylpiperidin-4-yl)amino]-1-(cyclohexylmethyl)-2-oxoethyl]morpholine-4-carboxamide	CTSS
N-[(1S)-2-{[(1R)-2-(benzyloxy)-1-cyano-1-methylethyl]amino}-1-(cyclohexylmethyl)-2-oxoethyl]morpholine-4-carboxamide	CTSS
5-Hydroxymethyl-Chonduritol	AMY2A|AMY2B|AMY1C
4,6-Dideoxy-4-Amino-Alpha-D-Glucose	AMY2A|AMY1C
Tris(Hydroxyethyl)Aminomethane	AMY1C
Bestatin	LTA4H
DG051	LTA4H
CHR-2797	LTA4H|NPEPPS
5-[2-(1H-pyrrol-1-yl)ethoxy]-1H-indole	LTA4H
N-(pyridin-3-ylmethyl)aniline	LTA4H
(4-fluorophenyl)(pyridin-4-yl)methanone	LTA4H
1-(2,2'-bithiophen-5-yl)methanamine	LTA4H
N-[4-(benzyloxy)phenyl]glycinamide	LTA4H
(2S)-2-amino-5-oxo-5-[(4-phenylmethoxyphenyl)amino]pentanoic acid	LTA4H
4-amino-N-[4-(benzyloxy)phenyl]butanamide	LTA4H
N-methyl-1-(2-thiophen-2-ylphenyl)methanamine	LTA4H
{4-[(2R)-pyrrolidin-2-ylmethoxy]phenyl}(4-thiophen-3-ylphenyl)methanone	LTA4H
(R)-pyridin-4-yl[4-(2-pyrrolidin-1-ylethoxy)phenyl]methanol	LTA4H
1-(4-thiophen-2-ylphenyl)methanamine	LTA4H
N-benzyl-4-[(2R)-pyrrolidin-2-ylmethoxy]aniline	LTA4H
4-(2-amino-1,3-thiazol-4-yl)phenol	LTA4H
N-[(2R)-2-benzyl-4-(hydroxyamino)-4-oxobutanoyl]-L-alanine	LTA4H
5-[2-(4-hydroxyphenyl)ethyl]benzene-1,3-diol	LTA4H
1,6-Fructose Diphosphate (Linear Form)	ALDOB|ALDOA
1,3-Dihydroxyacetonephosphate	TPI1|ALDOB|ALDOA
1,6-DI-O-PHOSPHONO-D-MANNITOL	ALDOA
N-(4-CHLOROPHENYL)-3-(PHOSPHONOOXY)NAPHTHALENE-2-CARBOXAMIDE	ALDOA
(1'r,2's)-9-(2-Hydroxy-3'-Keto-Cyclopenten-1-Yl)Adenine	AHCY
3'-Oxo-Adenosine	AHCY
D-Eritadenine	AHCY
Adenosine Monotungstate	FHIT
Fructose	FHIT
Ado-P-Ch2-P-Ps-Ado	FHIT
4-Guanidinobenzoic Acid	CFB
Carba-Nicotinamide-Adenine-Dinucleotide	PARP1
NU1025	PARP1
2-{3-[4-(4-Fluorophenyl)-3,6-Dihydro-1(2h)-Pyridinyl]Propyl}-8-Methyl-4(3h)-Quinazolinone	PARP1
3-Methoxybenzamide	PARP1
2-(4-Chlorophenyl)-5-Quinoxalinecarboxamide	PARP1
3,4-Dihydro-5-Methyl-Isoquinolinone	PARP1
2-(3'-Methoxyphenyl) Benzimidazole-4-Carboxamide	PARP1
6-AMINO-BENZO[DE]ISOQUINOLINE-1,3-DIONE	PARP1
(2R)-2-(7-carbamoyl-1H-benzimidazol-2-yl)-2-methylpyrrolidinium	PARP1|PARP2
trans-4-(7-carbamoyl-1H-benzimidazol-2-yl)-1-propylpiperidinium	PARP1
5-FLUORO-1-[4-(4-PHENYL-3,6-DIHYDROPYRIDIN-1(2H)-YL)BUTYL]QUINAZOLINE-2,4(1H,3H)-DIONE	PARP1
Olaparib	PARP3|PARP1|PARP2
ZK-800270	PRSS1
Bis(5-Amidino-Benzimidazolyl)Methane	PRSS1
CRA_7806	PRSS1
Nalpha-(2-Naphthylsulfonylglycyl)-3-Amidino-D,L-Phenylalanine-Isopropylester	PRSS1
CRA_17693	PRSS1
N-Alpha-(2-Naphthylsulfonyl)-N(3-Amidino-L-Phenylalaninyl)Isopipecolinic Acid Methyl Ester	PRSS1
CRA_10991	PRSS1
[4-(6-Chloro-Naphthalene-2-Sulfonyl)-Piperazin-1-Yl]-(3,4,5,6-Tetrahydro-2h-[1,4']Bipyridinyl-4-Yl)-Methanone	PRSS1
Bis(5-Amidino-2-Benzimidazolyl)Methanone	PRSS1
5-Amidino-Benzimidazole	PRSS1
Amylamine	PRSS1
CRA_16847	PRSS1
Bis-Benzamidine	PRSS1
CRA_17312	PRSS1
Zk-806450	PRSS1
[4-({[5-Benzyloxy-1-(3-Carbamimidoyl-Benzyl)-1h-Indole-2-Carbonyl]-Amino}-Methyl)-Phenyl]-Trimethyl-Ammonium	PRSS1
2-(2-Hydroxy-Phenyl)-3h-Benzoimidazole-5-Carboxamidine	PRSS1
CRA_9334	PRSS1
4-{[1-Methyl-5-(2-Methyl-Benzoimidazol-1-Ylmethyl)-1h-Benzoimidazol-2-Ylmethyl]-Amino}-Benzamidine	PRSS1
CRA_10762	PRSS1
Aminomethylcyclohexane	PRSS1
2-(2-Hydroxy-Phenyl)-1h-Indole-5-Carboxamidine	PRSS1
Benzylamine	PRSS2|PRSS1
Trans-2-Phenylcyclopropylamine	PRSS1
RPR131247	PRSS1
(2s,4r)-1-Acetyl-N-[(1s)-4-[(Aminoiminomethyl)Amino]-1-(2-Benzothiazolylcarbonyl)Butyl]-4-Hydroxy-2-Pyrrolidinecarboxamide	PRSS1
CRA_1802	PRSS1
CRA_10972	PRSS1
CRA_1801	PRSS1
Crc200 (Chiron-Behring)	PRSS1
CRA_10433	PRSS1
Bis(5-Amidino-2-Benzimidazolyl)Methane Ketone	PRSS1
4-Fluorobenzylamine	PRSS1
RWJ-51084	PRSS1
1-(2-Amidinophenyl)-3-(Phenoxyphenyl)Urea	PRSS1
ZK-806711	PRSS1
3,5-Diiodotyrosine	PKIA|PRKACA|IYD|PRSS1
1-(4-Tert-Butylcarbamoyl-Piperazine-1-Carbonyl)-3-(3-Guanidino-Propyl)-4-Oxo-Azetidine-2-Carboxylic Acid	PRSS1
Bis(5-Amidino-Benzimidazolyl)Methanone Zinc	PRSS1
CRA_10950	PRSS1
CRA_11092	PRSS1
CRA_9785	PRSS1
CRA_1144	HPN|PRSS1
Phosphorylisopropane	PRSS2|PRSS1
Bis(5-Amidino-Benzimidazolyl)Methane Zinc	PRSS1
[(1-{2[(4-Carbamimidoyl-Phenylamino)-Methyl]-1-Methyl-1h-Benzoimidazol-5-Yl}-Cyclopropyl)-Pyridin-2-Yl-Methyleneaminooxy]-Acetic Acid Ethyl Ester	PRSS1
N-Alpha-(2-Naphthylsulfonyl)-N(3-Amidino-L-Phenylalaninyl)-4-Acetyl-Piperazine	PRSS1
CRA_9076	PRSS1
N-Alpha-(2-Naphthylsulfonyl)-N-(3-Amidino-L-Phenylalaninyl)-D-Pipecolinic Acid	PRSS1
CRA_23653	PRSS1
Cyclotheonamide A	PRSS1
Bis(5-Amidino-2-Benzimidazolyl)Methane Ketone Hydrate	PRSS1
4-Phenylbutylamine	PRSS1
2-Phenylethylamine	PRSS2|PRSS1
1-(4-Amidinophenyl)-3-(4-Chlorophenyl)Urea	PRSS1
Aeruginosin 98-B	PRSS1
3-Phenylpropylamine	PRSS2|PRSS1
RPR128515	PRSS1
ZK-805623	PRSS1
2-(2-Oxo-1,2-Dihydro-Pyridin-3-Yl)-1h-Benzoimidazole-5-Carboxamidine	PRSS1
Benzo[B]Thiophene-2-Carboxamidine	PRSS1
CRA_10656	PRSS1
CRA_9678	PRSS1
2,5-bis-o-{3-[amino(imino)methyl]phenyl}-1,4:3,6-dianhydro-d-glucitol	PRSS1
2-O-(4'-AMIDINOPHENYL)-5-O-(3''-AMIDINOPHENYL)-1,4:3,6-DIANHYDRO-D-SORBITOL	PRSS1
2,5-O,O-BIS-{4',4''-AMIDINOPHENYL}-1,4:3,6-DIANHYDRO-D-SORBITOL	PRSS1
2-O-(3'-AMIDINOPHENYL)-5-O-(4''-AMIDINOPHENYL}-1,4:3,6-DIANHYDRO-D-SORBITOL	PRSS1
diethyl [(1R)-1,5-diaminopentyl]boronate	PRSS1
2-(2-METHYLPHENYL)-1H-INDOLE-6-CARBOXIMIDAMIDE	PRSS1
2-(3-METHYLPHENYL)-1H-INDOLE-5-CARBOXIMIDAMIDE	PRSS1
3-{5-[AMINO(IMINIO)METHYL]-1H-INDOL-2-YL}-5-METHOXY-1,1'-BIPHENYL-2-OLATE	PRSS1
4-(METHYLSULFONYL)BENZENECARBOXIMIDAMIDE	PRSS1
5-amino-2,4,6-tribromobenzene-1,3-dicarboxylic acid	PRSS1
+/-METHYL 4-(AMINOIMINOMETHYL)-BETA-[3- INH (AMINOIMINO)PHENYL]BENZENE PENTANOATE	PRSS1
2-(2-METHYLPHENYL)-1H-INDOLE-5-CARBOXIMIDAMIDE	PRSS1
1-{[1-(2-AMINO-3-PHENYL-PROPIONYL)-PYRROLIDINE-2-CARBONYL]-AMINO}-2-(3-CYANO-PHENYL)-ETHANEBORONIC ACID	PRSS1
[N-(BENZYLOXYCARBONYL)AMINO](4-AMIDINOPHENYL)METHANE-PHOSPHONATE	PRSS1
Octanoyl-Coenzyme A	ECI1|ACADM|ECHS1
3-Thiaoctanoyl-Coenzyme A	ACADM
Phosphomethylphosphonic Acid Guanosyl Ester	CANT1
5,6-Dihydro-Benzo[H]Cinnolin-3-Ylamine	DAPK1
6-(3-AMINOPROPYL)-4,9-DIMETHYLPYRROLO[3,4-C]CARBAZOLE-1,3(2H,6H)-DIONE	DAPK1
Fexaramine	NR1H4
Chenodeoxycholic acid	NR1H4
(8alpha,10alpha,13alpha,17beta)-17-[(4-hydroxyphenyl)carbonyl]androsta-3,5-diene-3-carboxylic acid	NR1H4|NCOA1
Deamido-Nad+	NMNAT1|NMNAT3
Inositol 1,3-Bisphosphate	EEA1
ethyl 3-[(E)-2-amino-1-cyanoethenyl]-6,7-dichloro-1-methyl-1H-indole-2-carboxylate	CLK1|CLK3
S-(N-Hydroxy-N-Bromophenylcarbamoyl)Glutathione	HAGH
Fica	CASP7
Alpha,Beta-Methyleneadenosine-5'-Triphosphate	NMNAT3
Isatoic Anhydride	CFD
3,4-Dichloroisocoumarin	CFD
3-[(5s)-1-Acetyl-3-(2-Chlorophenyl)-4,5-Dihydro-1h-Pyrazol-5-Yl]Phenol	KIF11
Monastrol	KIF11
(4R)-4-(3-HYDROXYPHENYL)-N,N,7,8-TETRAMETHYL-3,4-DIHYDROISOQUINOLINE-2(1H)-CARBOXAMIDE	KIF11
N,N-DIETHYL-2-[(2-THIENYLCARBONYL)AMINO]-4,5,6,7-TETRAHYDRO-1-BENZOTHIOPHENE-3-CARBOXAMIDE	KIF11
(5R)-N,N-DIETHYL-5-METHYL-2-[(THIOPHEN-2-YLCARBONYL)AMINO]-4,5,6,7-TETRAHYDRO-1-BENZOTHIOPHENE-3-CARBOXAMIDE	KIF11
(2S)-4-(2,5-difluorophenyl)-N-[(3R,4S)-3-fluoro-1-methylpiperidin-4-yl]-2-(hydroxymethyl)-N-methyl-2-phenyl-2,5-dihydro-1H-pyrrole-1-carboxamide	KIF11
[(4R)-4-(3-HYDROXYPHENYL)-1,6-DIMETHYL-2-THIOXO-1,2,3,4-TETRAHYDROPYRIMIDIN-5-YL](PHENYL)METHANONE	KIF11
(2S)-4-(2,5-DIFLUOROPHENYL)-N-METHYL-2-PHENYL-N-PIPERIDIN-4-YL-2,5-DIHYDRO-1H-PYRROLE-1-CARBOXAMIDE	KIF11
(1S)-1-CYCLOPROPYL-2-[(2S)-4-(2,5-DIFLUOROPHENYL)-2-PHENYL-2,5-DIHYDRO-1H-PYRROL-1-YL]-2-OXOETHANAMINE	KIF11
(2S)-4-(2,5-DIFLUOROPHENYL)-N,N-DIMETHYL-2-PHENYL-2,5-DIHYDRO-1H-PYRROLE-1-CARBOXAMIDE	KIF11
(5S)-5-(3-AMINOPROPYL)-3-(2,5-DIFLUOROPHENYL)-N-ETHYL-5-PHENYL-4,5-DIHYDRO-1H-PYRAZOLE-1-CARBOXAMIDE	KIF11
Sphingosine	GLTP|PVR
Decanoic Acid	GLTP|FURIN
Oleic Acid	PMP2|GLTP
Lactose	GLT6D1|GLTP
3,4-Dihydroxycinnamic Acid	MIF
7-Hydroxy-2-Oxo-Chromene-3-Carboxylic Acid Ethyl Ester	MIF
3-(4-HYDROXYPHENYL)-4,5-DIHYDRO-5-ISOXAZOLE-ACETIC ACID METHYL ESTER	MIF
4-HYDROXYBENZALDEHYDE O-(CYCLOHEXYLCARBONYL)OXIME	MIF
3-FLUORO-4-HYDROXYBENZALDEHYDE O-(CYCLOHEXYLCARBONYL)OXIME	MIF
4-HYDROXYBENZALDEHYDE O-(3,3-DIMETHYLBUTANOYL)OXIME	MIF
Udp-Glucuronic Acid	B3GAT3
N-Ethylmaleimide	CLC
Dazoxiben	TBXAS1
NM-702	TBXAS1
4-{4-[4-(3-AMINOPROPOXY)PHENYL]-1H-PYRAZOL-5-YL}-6-CHLOROBENZENE-1,3-DIOL	HSP90AB1
(5E)-14-CHLORO-15,17-DIHYDROXY-4,7,8,9,10,11-HEXAHYDRO-2-BENZOXACYCLOPENTADECINE-1,12(3H,13H)-DIONE	HSP90AB1
(5Z)-12-CHLORO-13,15-DIHYDROXY-4,7,8,9-TETRAHYDRO-2-BENZOXACYCLOTRIDECINE-1,10(3H,11H)-DIONE	HSP90AB1
(5E)-12-CHLORO-13,15-DIHYDROXY-4,7,8,9-TETRAHYDRO-2-BENZOXACYCLOTRIDECINE-1,10(3H,11H)-DIONE	HSP90AB1
(5Z)-13-CHLORO-14,16-DIHYDROXY-3,4,7,8,9,10-HEXAHYDRO-1H-2-BENZOXACYCLOTETRADECINE-1,11(12H)-DIONE	HSP90AB1
3-amino-5-phenylpentane	CTSK|CTSV
4-Methylpiperazin-1-Yl Carbonyl Group	CTSV
S-4-Nitrobutyryl-Coa	GCDH
2'-Deoxyuridine 3'-Monophosphate	RNASE4|RNASE1
3[N-Morpholino]Propane Sulfonic Acid	GNLY
[(2r,3s,4s,5r)-3,4,5-Trihydroxytetrahydrofuran-2-Yl]Methyl Dihydrogen Phosphate	NUDT9
N-Cholylglycine	FABP6
Taurocholic Acid	FABP6
N-Carbamoyl-Alanine	PRDX2
Spermidine	TXNRD1
Fotemustine	TXNRD1
motexafin gadolinium	TXNRD1|TXNRD2|RRM2
PX-12	TXNRD1
Lamotrigine	SCN2A
Propofol	GABRP|GABRA1|GABRQ|GABRA6|GABRD|GABRA2|GABRB2|SCN2A|GABRE|GABRB1|GABRA3|GABRA5|SCN4A|GABRG2|GABRG3|GABRA4|GABRB3|GABRG1
Cyclic Guanosine Monophosphate	PRKAR1A|HCN2|PDE2A
ND7001	PDE2A
4-HYDROXY-N'-(4-ISOPROPYLBENZYL)BENZOHYDRAZIDE	NRIP1|ESRRG
4-(1-methyl-1-phenylethyl)phenol	ESRRG
4,4'-PROPANE-2,2-DIYLDIPHENOL	ESRRG
4,4'-cyclohexane-1,1-diyldiphenol	ESRRG
Tolcapone	COMT
Entacapone	COMT
3,5-Dinitrocatechol	COMT
BIA	COMT
N-{3-[5-(6-Amino-Purin-9-Yl)-3,4-Dihydroxy-Tetrahydro-Furan-2-Yl]-Allyl}-2,3-Dihydroxy-5-Nitro-Benzamide	COMT
Nialamide	MAOA|COMT|MAOB
(3,4-DIHYDROXY-2-NITROPHENYL)(PHENYL)METHANONE	COMT
7,8-dihydroxy-4-phenyl-2H-chromen-2-one	COMT
Aminoglutethimide	CYP11A1|CYP19A1
Testolactone	CYP19A1
Exemestane	CYP19A1
Letrozole	CYP19A1
Anastrozole	CYP19A1
MPI-674	CYP19A1
Latrunculin A	GSN|ACTA1
Sucrose	ATOX1|LYZ|RTCB|ACTA1
Ulapualide A	ACTA1
Kabiramide C	ACTA1
Jaspisamide A	ACTA1
Tmr	ACTA1
4-Methyl-Histidine	ACTA1
Aplyronine A	ACTA1
Reidispongiolide A	ACTA1
Reidispongiolide C	ACTA1
Sphinxolide B	ACTA1
LATRUNCULIN B	MKL1|SPIRE2|ACTA1
T-1249	SERPINA5
NPI 32101	CSF2RB
Bentiromide	HPN
Pegaptanib	NRP1
3-(3-methoxybenzyl)-1H-pyrrolo[2,3-b]pyridine	FGFR1
(E)-[4-(3,5-difluorophenyl)-3H-pyrrolo[2,3-b]pyridin-3-ylidene](3-methoxyphenyl)methanol	FGFR1
3-[(3-(2-CARBOXYETHYL)-4-METHYLPYRROL-2-YL)METHYLENE]-2-INDOLINONE	FGFR1
Teduglutide	GLP2R
BIPHENYL-4-YL-ACETALDEHYDE	CTSL
Botulinum Toxin Type B	VAMP1|VAMP2|SYT2
Lanreotide	SSTR5|SSTR2
1-Hydroxy-1-Thio-Glycerol	PREP
S-Oxy Cysteine	SOD1|PREP
Z-Pro-Prolinal	PREP
Monothioglycerol	PREP
(6S)-1-chloro-3-[(4-fluorobenzyl)oxy]-6-(pyrrolidin-1-ylcarbonyl)pyrrolo[1,2-a]pyrazin-4(6H)-one	PREP
